FSN,ID
Finding of joint movement (finding),366672005
Finding of number of joints involved (finding),366721008
Insidious onset (attribute),367326009
Disorder of the vertebral column (disorder),367539009
Modifier AND/OR qualifier (qualifier value),370227000
Evaluation of response to medications (procedure),370807008
Arthritis of spine (disorder),371082009
Eye region structure (body structure),371398005
Disorder of eye proper (disorder),371405004
Imaging by body site (procedure),371571005
Nuclear medicine procedure (procedure),371572003
Ultrasonography (procedure),371573008
Tomographic imaging procedure (procedure),371575001
Disorder of joint of spine (disorder),372109003
Lower gastrointestinal tract part (body structure),372198002
Substance with immunomodulator mechanism of action (substance),372558009
Non-steroidal anti-inflammatory agent (substance),372665008
Nuclear medicine imaging procedure (procedure),373205008
Non-opioid analgesic (substance),373216001
Analgesic (substance),373265006
Anti-inflammatory agent (substance),373283003
Inflammatory disorder of digestive system (disorder),373407002
Back pain (finding),373644009
Disorder characterized by pain (disorder),373673007
Hair structure (body structure),386045008
Evaluation procedure (procedure),386053000
Risk identification (procedure),386413005
Genetic risk identification (procedure),386415003
Manipulation of joint (procedure),387688006
Family history: Ankylosing spondylitis (situation),394990003
Medication monitoring (regime/therapy),395170001
Plasma protein (substance),395835001
Medication administration assessment (procedure),396073008
Degenerative skin disorder (disorder),396325007
Integumentary system part (body structure),396328009
Back pain (finding),399079008
Arthropathy (disorder),399269003
Disorder of body cavity (disorder),399902003
Acquired disorder of keratinization (disorder),399937000
Disorder of body wall (disorder),399986003
Joint structure of digit (body structure),400032002
Structure of skin and/or surface epithelium (body structure),400199006
Disease modifying antirheumatic drug monitoring (regime/therapy),401192009
Developmental and/or congenital abnormality of nail (disorder),402625004
Clinical finding (finding),404684003
Time of symptom onset (observable entity),405795006
Genetic test (procedure),405824009
Pain observable (observable entity),406189006
Allergen class (substance),406455002
Drug allergen (substance),406463001
Cyclic citrullinated peptide antibody (substance),406518004
Unapproved attribute (attribute),408739003
Procedure with a procedure focus (procedure),408766003
Procedure with a clinical finding focus (procedure),408767007
Inflammatory morphology (morphologic abnormality),409774005
Acute inflammatory morphology (morphologic abnormality),409776007
Structure of enthesis (body structure),410054009
Subject of record (person),410604004
Concept model attribute (attribute),410662002
Time (attribute),410670007
Disorder of spinal region (disorder),410730009
Finding with explicit context (situation),413350009
Body material (substance),413674002
Crystal - body material (substance),413935006
Disorder of immune function (disorder),414029004
Drug pseudoallergen by function (substance),414058001
Finding of back (finding),414252009
Imaging of upper limb (procedure),414459003
Immunoassay method (procedure),414464004
Immunosorbent method (procedure),414468001
Mucous membrane structure (body structure),414781009
Process (observable entity),415178003
Reference laboratory (qualifier value),415259005
Synovitis (disorder),416209007
Erythrocyte sedimentation (observable entity),416560009
Drug therapy (procedure),416608005
Pelvis and/or lower extremity structure (body structure),416631005
Erythrocyte sedimentation rate measurement (procedure),416838001
Abdomen and/or pelvis structure (body structure),416949008
Finding of pelvic structure (finding),416972005
Finding of iliac structure (finding),417166003
Undifferentiated inflammatory arthritis (disorder),417180005
Interphalangeal joint of hand structure (body structure),417259006
Finding of sacroiliac joint (finding),418492000
Finding reported by subject or history provider (finding),418799008
Xanthine or xanthine derivative (substance),418882002
Immune hypersensitivity reaction (disorder),418925002
Allergic reaction (disorder),419076005
Back pain (finding),419258005
Subject of record or other provider of history (person),419358007
Structure of ankle and/or foot (body structure),419605007
Examination AND/OR history taking - action (qualifier value),419656003
Testing - action (qualifier value),419661001
Structure of subregion of trunk (body structure),420473002
Structure of shoulder and/or upper arm (body structure),420657004
Structure of vertebral column (body structure),421060004
Allergic disorder by body site affected (disorder),421095001
Structure of bone organ (body structure),421663001
Finding of pain sense (finding),421833007
Hypersensitivity reaction (disorder),421961002
Allergic disorder of skin (disorder),422290000
Structure of half of trunk lateral to midsagittal plane (body structure),422697005
Sudden onset AND/OR short duration (qualifier value),424124008
Plain X-ray of right foot (procedure),426311001
Plain X-ray of bilateral feet (procedure),426581005
Entire synovial sac (body structure),426667004
Delayed hypersensitivity disorder (disorder),426760008
Cell-mediated cytotoxic disorder (disorder),426871003
Plain X-ray of left foot (procedure),426908009
Immune hypersensitivity disorder by mechanism (disorder),427439005
Family history of psoriasis with psoriatic arthritis (situation),430543001
Measurement of substance (procedure),430925007
Joint fluid (substance),431898009
Measurement of substance in specimen (procedure),433441002
Environment observable (observable entity),438950009
Diagnosis (observable entity),439401001
Evaluation finding (finding),441742003
Imaging of abdomen (procedure),441987005
Anatomical or acquired body structure (body structure),442083009
Swollen joint count for rheumatoid arthritis assessment (observable entity),442194005
Duration of early morning joint stiffness (observable entity),442492001
Measurement finding above reference range (finding),442756004
Person with characteristic related to subject of record (person),444018008
Person in family of subject (person),444148008
Assessment using assessment scale (procedure),445536008
Assessment using European league against rheumatism response criteria (procedure),446970009
Time from onset of pain to call for help (observable entity),448878007
Swelling of upper limb (finding),449618007
Hypersensitivity process (qualifier value),472963003
Hypersensitivity condition (finding),473010000
Structure of abdominal segment of trunk (body structure),609616003
Structure of pelvic segment of trunk (body structure),609617007
Disorder of abdominal segment of trunk (disorder),609618002
Disorder of pelvis (disorder),609620004
Finding of abdomen (finding),609624008
Finding of pelvic region of trunk (finding),609625009
Finding of pelvis (finding),609626005
Finding of abdominal segment of trunk (finding),609627001
Finding of sacral region (finding),609631007
Procedure on pelvic region of trunk (procedure),609637006
Structure of material anatomical entity (body structure),698967008
Arthritis of pelvis (disorder),699207005
Structure of shoulder girdle region (body structure),699460007
Structure of organ within abdomen proper cavity (body structure),699602007
Structure of posterior part of lower limb (body structure),699620003
Structure of lateral part of lower limb (body structure),699639008
Finding of sensation by site (finding),699697007
Disorder of vertebral column (disorder),699699005
Skeletal muscle and/or tendon structure (body structure),699997005
Structure of lateral pelvic girdle (body structure),700007009
Structure of joint of pelvic wall (body structure),700008004
Disorder of pelvic girdle (disorder),700011003
Color (observable entity),703247007
Inflammatory dermatosis (disorder),703938007
Structure of skin and/or skin-associated mucous membrane (body structure),707861009
Lesion of degenerative abnormality (morphologic abnormality),708529002
Assessment of risk for disease (procedure),709510001
Promotion (procedure),710135002
Plain X-ray of limb (procedure),711220000
Plain X-ray of pelvis (procedure),713021002
Plain X-ray of upper limb (procedure),713023004
Plain X-ray of hand (procedure),713027003
Symptom management (procedure),713148004
Finding of sensation of lower limb (finding),713314006
Joint pain of pelvic region (finding),713413001
Lesion of skin and/or skin-associated mucous membrane (disorder),714974000
Imaging of pelvis (procedure),715959009
Dual energy computed tomography (procedure),721039003
Axial spondyloarthritis (disorder),723116002
Peripheral spondyloarthritis (disorder),724606001
Structure of enthesis of lower limb (body structure),725974005
Structure of enthesis of spine (body structure),725980002
Immunomodulator (disposition),734544007
Acute phase reactant (disposition),734786004
Structure of soft tissue of wrist region (body structure),736325004
Family history of disorder of immune function (situation),737367001
Medicinal product categorized by therapeutic role (product),763087004
Medicinal product (product),763158003
Structure of soft tissue of hand (body structure),763687003
Therapeutic role (role),766941000
Xanthine and/or xanthine derivative (substance),768845000
Crystal (substance),769069006
Abnormal immune process (qualifier value),769247005
Nail unit structure (body structure),770802007
Cartilage structure (body structure),771314001
Procedure on body region (procedure),771329004
Stability of hand joint (observable entity),771395001
Stability of metacarpophalangeal joint (observable entity),771396000
Structure of synovial sac (body structure),771527003
Joint structure of multiple body sites (body structure),773190007
Allergic disorder (disorder),781474001
Nail unit part (body structure),782611005
Spondyloarthritis (disorder),784332006
Finding of substance level (finding),785671009
Measurement of level of substance in blood (procedure),785673007
Structure of joint region (body structure),785818007
Disorder of joint region (disorder),785875003
Structure of foot joint region (body structure),786075006
Structure of joint region of vertebral column (body structure),786849008
Structure of intestine and/or mesentery (body structure),786857006
Structure of metacarpophalangeal joint region (body structure),786986005
Structure of metatarsophalangeal joint region (body structure),787002003
Corticosteroid and/or corticosteroid derivative therapy (procedure),788751009
Erosion of bone (finding),788917000
Structure of pelvic cross-sectional segment of trunk (body structure),816092008
Structure of abdominopelvic cavity and/or content of abdominopelvic cavity and/or anterior abdominal wall (body structure),818983003
Structure of abdominopelvic segment excluding true pelvic segment of trunk (body structure),818985005
Structure of organ within abdominopelvic cavity (body structure),818993005
Finding of abdominopelvic segment of trunk (finding),822987005
Structure of wall of abdominal proper segment of trunk (body structure),822992007
Structure of striated muscle (body structure),870435006
Joint structure of upper limb (body structure),896816002
Structure of joint of pelvic ring (body structure),897010000
Joint structure of free lower limb (body structure),897026004
Structure of posterior arch of pelvic ring (body structure),897701004
Structure of vertebral column region (body structure),1141981001
Structure of interphalangeal joint region of thumb (body structure),1145148008
Musculoskeletal system normal (finding),1145525006
Normal musculoskeletal system function (finding),1157172005
Xanthine derivative (substance),1172581002
Structure of synovial sac of joint capsule (body structure),1179556004
Structure of sensory organ (body structure),1193601008
Blood substance level above reference range (finding),1217346007
Risk level (observable entity),1255619009
Finding of increased risk level (finding),1255670000
Structure of colon and/or rectum (body structure),1279755003
Structure of cecum and/or colon and/or rectum (body structure),1285733009
Eye proper part (body structure),1290169005
Plain X-ray of foot (procedure),1290452004
Structure of joint of axial skeleton (body structure),1342323007
Deposition of monosodium urate crystals with inflammatory morphology (morphologic abnormality),1348357007
Chronic back pain greater than three months duration (finding),631000119102
Plain X-ray of left lower limb (procedure),9241000087103
Plain X-ray of right lower limb (procedure),9251000087100
Plain X-ray of bilateral lower limbs (procedure),9771000087103
Anomaly of eye (disorder),11131000119108
Family history of connective tissue disorder (situation),65001000119101
Colonic lesion (disorder),67401000119103
History of immune disorder (situation),107921000119107
History of skin and/or subcutaneous tissue disease (situation),152711000119105
SNOMED CT Model Component (metadata),900000000000441003
